Region,Country,Year,Income,BirthRate,Population,
Islam,Afghanistan,2012,2.007349,5.977,88303,
Islam,Albania,2012,10.66144,1.66,188098,
Islam,Algeria,2012,7.103952,2.86,717503,
Christianity,Argentina,2012,10.15166,2.346,736296,
Christianity,Armenia,2012,11.0591,1.722,859652,
Christianity,Australia,2012,11.95779,1.936,1230985,
Christianity,Austria,2012,10.05477,1.419,1291167,
Islam,Bahrain,2012,7.814315,2.164,1632572,
Islam,Bangladesh,2012,6.188976,2.324,1663558,
Christianity,Barbados,2012,10.16706,1.687,1791225,
Christianity,Belgium,2012,11.65948,1.816,2003910,
Christianity,Belize,2012,11.40655,2.69,2051545,
Christianity,Benin,2012,3.266152,5.362,2259393,
Christianity,Bolivia,2012,8.529408,3.213,3796141,
Christianity,Botswana,2012,10.1605,3.022,4190435,
Christianity,Brazil,2012,8.885223,1.796,4337051,
Islam,Brunei,2012,8.980621,1.937,4525209,
Christianity,Bulgaria,2012,11.13841,1.534,5978727,
Christianity,Burundi,2012,2.877633,6.179,6130922,
Buddhism,Cambodia,2012,4.202942,2.875,6154623,
Christianity,Cameroon,2012,6.248414,5.111,6642928,
Christianity,Canada,2012,12.99251,1.633,9849569,
Christianity,Central African Republic,2012,3.074577,5.215,10050702,
Christianity,Chile,2012,10.73611,1.884,10777500,
Unaffiliated Religions,China,2012,8.383776,1.627,10837527,
Christianity,Colombia,2012,9.788342,1.992,11451273,
Christianity,Congo,2012,6.010641,4.765,11457801,
Christianity,Costa Rica,2012,8.743934,1.885,12448175,
Christianity,Cote d'Ivoire,2012,4.00035,5.088,13724317,
Christianity,Croatia,2012,12.01641,1.516,13726021,
Christianity,Cuba,2012,11.58187,1.647,14075099,
Christianity,Cyprus,2012,12.28253,1.424,14853572,
Unaffiliated Religions,Czechia,2012,12.52709,1.46,15906483,
Christianity,Democratic Republic of Congo,2012,2.898664,6.544,16460141,
Christianity,Denmark,2012,11.93674,1.796,17157042,
Christianity,Dominican Republic,2012,8.917242,2.503,19839750,
Christianity,Ecuador,2012,8.482984,2.615,20820525,
Islam,Egypt,2012,7.258957,3.233,21699631,
Christianity,El Salvador,2012,8.304948,2.265,22293914,
Unaffiliated Religions,Estonia,2012,12.42012,1.647,25203395,
Christianity,Eswatini,2012,4.908533,3.342,25366462,
Christianity,Fiji,2012,10.87798,2.752,32521143,
Christianity,Finland,2012,11.19973,1.829,36345860,
Christianity,France,2012,11.79715,1.996,37195349,
Christianity,Gabon,2012,9.809809,4.146,38481705,
Islam,Gambia,2012,3.232567,5.583,43178141,
Christianity,Germany,2012,12.24965,1.384,47783107,
Christianity,Ghana,2012,6.885495,4.273,52274945,
Christianity,Greece,2012,11.94519,1.392,65705093,
Christianity,Guatemala,2012,4.853743,3.375,80721874,
Christianity,Guyana,2012,9.644536,2.655,91728849,
Christianity,Haiti,2012,4.320821,3.427,168833776,
Christianity,Honduras,2012,6.769185,2.957,338442,
Unaffiliated Religions,Hong Kong,2012,12.99512,1.117,412238,
Christianity,Hungary,2012,11.95175,1.321,556783,
Christianity,Iceland,2012,12.39173,2.083,741822,
Hinduism,India,2012,5.560464,2.581,1148958,
Islam,Indonesia,2012,8.092866,2.483,2796484,
Islam,Iran,2012,9.051446,1.839,2969081,
Islam,Iraq,2012,6.675963,4.343,4490700,
Christianity,Ireland,2012,12.68353,1.999,5172931,
Judaism,Israel,2012,12.73561,2.987,5312400,
Christianity,Italy,2012,11.35855,1.445,5607200,
Christianity,Jamaica,2012,11.00654,2.173,6645827,
Unaffiliated Religions,Japan,2012,12.94536,1.379,7154600,
Islam,Jordan,2012,9.895662,3.631,8008990,
Islam,Kazakhstan,2012,11.59845,2.64,9295784,
Christianity,Kenya,2012,6.27312,4.369,14864646,
Islam,Kuwait,2012,7.008118,2.234,16791425,
Islam,Kyrgyzstan,2012,11.08704,3.082,20328000,
Buddhism,Laos,2012,4.839315,3.143,27474377,
Christianity,Latvia,2012,11.4121,1.494,29239927,
Christianity,Lesotho,2012,7.05163,3.302,29774500,
Christianity,Liberia,2012,3.166952,4.971,29824536,
Islam,Libya,2012,9.807397,2.478,50004441,
Christianity,Lithuania,2012,11.73998,1.51,66785001,
Christianity,Luxembourg,2012,11.32367,1.588,88772900,
Folk Religions,Macao,2012,9.556791,1.093,96706764,
Christianity,Malawi,2012,4.452305,5.332,127561489,
Islam,Malaysia,2012,11.37797,2.149,154695368,
Islam,Maldives,2012,6.004479,2.206,179160111,
Islam,Mali,2012,2.103305,6.547,246864191,
Christianity,Malta,2012,12.07201,1.383,1236686732,
Islam,Mauritania,2012,3.932477,4.98,1350695000,
Hinduism,Mauritius,2012,10.12582,1.582,320716,
Christianity,Mexico,2012,9.425871,2.34,419455,
Christianity,Moldova,2012,10.84294,1.275,530946,
Buddhism,Mongolia,2012,9.94311,2.637,621081,
Islam,Morocco,2012,4.79899,2.567,1128994,
Christianity,Mozambique,2012,1.404152,5.392,1325016,
Buddhism,Myanmar,2012,5.653324,2.359,1807106,
Christianity,Namibia,2012,7.001972,3.631,2034319,
Hinduism,Nepal,2012,3.751684,2.542,2057159,
Christianity,Netherlands,2012,11.86591,1.745,2105575,
Christianity,New Zealand,2012,11.74198,2.113,2801681,
Christianity,Nicaragua,2012,7.241257,2.601,2987773,
Islam,Niger,2012,1.292325,7.473,3559519,
Christianity,Norway,2012,11.51435,1.89,3833916,
Islam,Pakistan,2012,3.871628,3.951,4267558,
Christianity,Panama,2012,10.28487,2.622,4586897,
Christianity,Papua New Guinea,2012,3.902619,3.985,5018573,
Christianity,Paraguay,2012,8.195255,2.73,5407579,
Christianity,Peru,2012,9.211321,2.546,5413971,
Christianity,Philippines,2012,9.135327,3.18,5591572,
Christianity,Poland,2012,12.08951,1.355,7199077,
Christianity,Portugal,2012,9.769664,1.321,7305888,
Islam,Qatar,2012,9.799339,2.07,7996861,
Christianity,Reunion,2012,9.27276,2.405,8429991,
Christianity,Romania,2012,11.16327,1.518,9464000,
Christianity,Russia,2012,12.16677,1.58,9519374,
Christianity,Rwanda,2012,4.222264,4.52,9920362,
Islam,Saudi Arabia,2012,8.826057,2.97,10510785,
Islam,Senegal,2012,2.459123,5.064,10514844,
Christianity,Serbia,2012,11.52192,1.513,11092771,
Islam,Sierra Leone,2012,3.365475,5.202,11128246,
Buddhism,Singapore,2012,12.98126,1.239,16754962,
Christianity,Slovakia,2012,12.78731,1.346,20076727,
Christianity,Slovenia,2012,12.19449,1.519,38535873,
Christianity,South Africa,2012,10.27425,2.598,45593300,
Unaffiliated Religions,South Korea,2012,13.62439,1.208,46761264,
Christianity,Spain,2012,11.26946,1.402,59539717,
Buddhism,Sri Lanka,2012,11.14827,2.248,63695687,
Islam,Sudan,2012,3.333889,4.876,65676758,
Christianity,Sweden,2012,12.08298,1.917,73997128,
Christianity,Switzerland,2012,12.65844,1.501,80425823,
Islam,Syria,2012,6.618928,3.404,143178000,
Folk Religions,Taiwan,2012,12.81406,1.054,1317827,
Islam,Tajikistan,2012,10.87942,3.599,2050514,
Christianity,Tanzania,2012,5.70303,5.427,3250496,
Buddhism,Thailand,2012,9.449305,1.542,3314001,
Christianity,Togo,2012,4.503073,4.868,4424888,
Christianity,Tonga,2012,11.52373,3.913,6318000,
Christianity,Trinidad and Tobago,2012,11.38195,1.806,7910500,
Islam,Tunisia,2012,7.97294,2.14,9205651,
Islam,Turkey,2012,7.127374,2.151,23852409,
Christianity,Uganda,2012,5.288293,6.111,28287855,
Christianity,Ukraine,2012,11.57077,1.456,32578209,
Islam,United Arab Emirates,2012,10.23583,1.819,76424443,
Christianity,United Kingdom,2012,12.77681,1.887,100786,
Christianity,United States, Fed. Sts.,13.31037,1.973,0.024,103395
Christianity,Uruguay,2012,9.123509,2.011,104941,
Christianity,Venezuela,2012,9.50528,2.471,188889,
Folk Religions,Vietnam,2012,7.354842,1.938,247262,
Islam,Yemen,2012,2.407121,4.674,549598,
Christianity,Zambia,2012,6.887143,5.415,874742,
Christianity,Zimbabwe,2012,7.711895,4.034,4433000,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
